ages,list_price,num_reviews,piece_count,play_star_rating,review_difficulty,star_rating,theme_name,val_star_rating,country
13,19.99,0,95,0,5,0,21,0,20
17,49.99,1,266,5,1,5,21,5,20
13,34.99,2,191,5,0,5,21,4.5,20
13,29.99,2,175,5,5,5,21,4,20
13,24.99,3,94,4.7,0,4.7,21,4.7,20
13,24.99,1,151,5,2,5,21,5,20
13,19.99,2,116,5,2,4.5,21,5,20
13,19.99,2,100,5,2,5,21,4.5,20
13,19.99,0,115,0,5,0,21,0,20
13,19.99,0,115,0,5,0,21,0,20
13,19.99,2,95,2.5,2,3,21,3,20
13,19.99,1,125,5,5,4,21,4,20
13,19.99,2,108,4.5,2,4.5,21,4,20
13,19.99,1,110,0,2,4,21,0,20
13,19.99,0,131,0,5,0,21,0,20
13,14.99,2,67,5,0,5,21,5,20
13,14.99,2,63,4,2,4.5,21,4,20
13,9.99,0,73,0,5,0,21,0,20
13,9.99,8,47,3.9,4,4,21,3.9,20
13,9.99,3,62,4.3,2,4.7,21,5,20
13,9.99,2,67,5,4,5,21,4,20
13,9.99,1,75,5,5,5,21,5,20
13,9.99,3,59,4.3,2,5,21,4.3,20
13,29.99,1,143,5,0,5,21,4,20
13,29.99,5,137,4.4,4,4.2,21,3.8,20
13,29.99,1,172,4,4,4,21,4,20
13,19.99,3,90,5,2,5,21,4.7,20
13,14.99,0,92,0,5,0,21,0,20
13,12.99,2,58,4,4,3,21,3,20
13,14.99,1,70,5,2,5,21,5,20
13,9.99,0,63,0,5,0,21,0,20
25,129.99,2,1019,5,2,5,20,4,20
22,79.99,1,577,0,5,5,5,0,20
22,69.99,0,609,0,5,0,36,0,20
13,49.99,0,150,0,5,0,21,0,20
19,39.99,4,360,4.8,0,5,22,4.3,20
22,39.99,1,289,3,2,4,14,3,20
22,39.99,0,397,0,5,0,3,0,20
19,29.99,2,222,4.5,0,5,35,4.5,20
11,29.99,0,22,0,5,0,13,0,20
13,24.99,0,85,0,5,0,21,0,20
0,19.99,1,234,3,2,5,4,5,20
19,19.99,1,126,3,2,4,31,2,20
13,19.99,0,84,0,5,0,21,0,20
11,19.99,1,24,0,5,5,13,0,20
7,119.99,52,1363,3.2,0,3.8,25,4,20
26,99.99,7,1004,4.8,0,5,25,4.8,20
26,69.99,17,674,4.9,0,4.7,25,4.2,20
23,39.99,3,416,3.7,0,4,25,3.7,20
23,29.99,13,375,4.7,2,4.8,25,4.7,20
19,19.99,10,223,4.4,2,4.4,25,4.9,20
19,14.99,13,124,4.2,2,4.8,25,4.8,20
0,9.99,3,101,4,0,4.7,4,4.5,20
0,9.99,2,105,3,2,5,4,5,20
0,9.99,1,113,5,2,5,4,5,20
0,9.99,1,136,0,5,5,4,0,20
23,59.99,6,492,4.7,0,4.3,25,4,20
23,59.99,7,375,4.1,2,3.7,25,2.3,20
23,49.99,6,400,4.8,2,4.3,25,4.5,20
23,39.99,23,375,4.4,0,4.6,25,3.9,20
23,29.99,7,358,4.7,0,4.7,25,4.8,20
11,29.99,0,38,0,5,0,13,0,20
23,29.99,10,377,4.8,2,4.6,25,4.3,20
19,19.99,6,229,4.4,2,4.7,25,5,20
19,19.99,9,185,3.9,2,3.9,25,4.2,20
19,19.99,10,160,3.9,2,3.7,25,3.9,20
13,19.99,1,125,5,5,4,21,4,20
16,9.99,2,79,3.5,2,3.5,25,3,20
16,9.99,0,86,0,5,0,25,0,20
16,9.99,0,89,0,5,0,25,0,20
16,9.99,1,79,5,4,4,25,5,20
23,29.99,12,323,4.3,0,4.8,25,4.3,20
19,29.99,14,330,4.7,2,4.8,25,4.6,20
23,29.99,15,358,3.8,0,4.5,25,4.5,20
19,19.99,9,197,4.3,2,4.4,25,4.8,20
19,12.99,25,92,4.2,4,4.5,25,4.4,20
16,9.99,10,94,4.4,4,4.4,25,4.6,20
0,9.99,8,96,4,2,4.9,4,4.4,20
0,9.99,8,93,3.9,2,4.6,4,4.1,20
16,9.99,4,85,4.3,2,4,25,4.5,20
0,9.99,4,143,3.5,2,4.8,4,4.8,20
0,349.99,38,601,4.4,1,4.3,24,3.7,20
3,197.99,1,1,5,0,4,24,3,20
3,88.99,6,1,4,4,4.3,24,3,20
3,41.99,1,1,5,4,5,24,5,20
3,31.99,0,1,0,5,0,24,0,20
3,31.99,0,1,0,5,0,24,0,20
0,31.99,3,1,5,0,5,24,3.3,20
24,29.99,2,1,5,4,4,24,2.5,20
3,26.99,2,1,5,5,5,24,5,20
3,21.99,1,1,5,2,5,24,0,20
3,21.99,0,1,0,5,0,24,0,20
3,16.99,0,7,0,5,0,24,0,20
0,31.99,4,1,3,1,3.5,24,4,20
5,249.99,11,2863,4.3,1,4.5,26,4.2,20
24,119.99,2,1122,5,2,5,26,4,20
24,69.99,7,729,4,0,4.1,26,3.7,20
24,59.99,1,717,5,1,5,26,5,20
24,49.99,4,549,4.7,2,4.8,26,4.3,20
24,39.99,1,470,5,0,5,26,5,20
24,29.99,0,278,0,5,0,26,0,20
24,29.99,6,387,4.2,2,4.7,26,4.2,20
23,19.99,4,198,4.5,0,4.5,26,5,20
